A342,Fixed-wing,4J/H,Heavy,B,G,G,D,III,9,AIRBUS,A-340-200 AIRBUS,A-340-200 Prestige AIRBUS,Prestige (A-340-200),,,,,,,,,,,,,,,,,,,,,,
A343,Fixed-wing,4J/H,Heavy,B,B,A,B,III,9,AIRBUS,A-340-300 AIRBUS,A-340-300 Prestige AIRBUS,Prestige (A-340-300),,,,,,,,,,,,,,,,,,,,,,
A345,Fixed-wing,4J/H,Heavy,B,B,A,B,III,9,AIRBUS,A-340-500 AIRBUS,A-340-500 Prestige AIRBUS,Prestige (A-340-500),,,,,,,,,,,,,,,,,,,,,,
A346,Fixed-wing,4J/H,Heavy,B,B,A,B,III,9,AIRBUS,A-340-600 AIRBUS,A-340-600 Prestige AIRBUS,Prestige (A-340-600),,,,,,,,,,,,,,,,,,,,,,
A35,Fixed-wing,1P/S,Light,F,F,F,I,I,,AVANTAGE,A-35 Scanner AVANTAGE,Scanner,,,,,,,,,,,,,,,,,,,,,,,
A359,Fixed-wing,2J/H,Heavy,B,B,A,B,III,10,AIRBUS,A-350-900 XWB AIRBUS,A-350-900 XWB Prestige AIRBUS,Prestige (A-350-900),,,,,,,,,,,,,,,,,,,,,,
A35K,Fixed-wing,2J/H,Heavy,B,G,G,D,III,,AIRBUS,A-350-1000 XWB AIRBUS,A-350-1000 XWB Prestige AIRBUS,Prestige (A-350-1000),,,,,,,,,,,,,,,,,,,,,,
A37,Fixed-wing,2J/S+,Light,F,F,F,I,III,,CESSNA,318D Dragonfly CESSNA,318E Dragonfly CESSNA,A-37 Dragonfly CESSNA,Dragonfly CESSNA,OA-37 Dragonfly,,,,,,,,,,,,,,,,,,,,
A388,Fixed-wing,4J/J,Heavy,A,A,NOWGT,A,III,10,AIRBUS,A-380-800 AIRBUS,A-380-800 Prestige AIRBUS,Prestige (A-380-800),,,,,,,,,,,,,,,,,,,,,,
A3ST,Fixed-wing,2J/H,Heavy,C,G,G,D,III,,AIRBUS,A-300ST Beluga AIRBUS,A-300ST Super Transporter AIRBUS,Beluga AIRBUS,Super Transporter SATIC,A-300ST Beluga SATIC,A-300ST Super Transporter SATIC,Beluga SATIC,Super Transporter,,,,,,,,,,,,,,,,,
A4,Fixed-wing,1J/S+,Medium,F,E,E,H,III,,MCDONNELL DOUGLAS,OA-4 Skyhawk MCDONNELL DOUGLAS,Skyhawk MCDONNELL DOUGLAS,TA-4 Skyhawk SINGAPORE,A-4 Super Skyhawk SINGAPORE,Super Skyhawk SINGAPORE,TA-4 Super Skyhawk,,,,,,,,,,,,,,,,,,,
A400,Fixed-wing,4T/H,Heavy,C,G,G,D,III,,AIRBUS,A-400M Atlas AIRBUS,A-400M Grizzly AIRBUS,Atlas AIRBUS,Grizzly,,,,,,,,,,,,,,,,,,,,,
A5,Fixed-wing,1P/S,Light,F,F,F,I,I,,ICON,A-5,,,,,,,,,,,,,,,,,,,,,,,,
A50,Fixed-wing,4J/H,Heavy,C,G,G,D,III,,BERIEV,A-50 BERIEV,Be-976 ILYUSHIN,A-50 ILYUSHIN,Be-976,,,,,,,,,,,,,,,,,,,,,
A500,Fixed-wing,2P/S,Light,F,F,F,I,II,,ADAM (2),A-500 ADAM (2),A-500 CarbonAero ADAM (2),CarbonAero,,,,,,,,,,,,,,,,,,,,,,
A504,Fixed-wing,1P/S,Light,F,F,F,I,I,,AVRO,504 AVRO,504 Replica,,,,,,,,,,,,,,,,,,,,,,,
A6,Fixed-wing,2J/L,Medium,E,D,D,G,III,,GRUMMAN,A-6 Intruder GRUMMAN,EA-6 Prowler GRUMMAN,G-128 Intruder GRUMMAN,G-128 Prowler GRUMMAN,Intruder GRUMMAN,KA-6 Intruder GRUMMAN,Prowler,,,,,,,,,,,,,,,,,,
